Tahun	Bulan	Jenis Ikan	Volume Produksi (kg)
2020	Agustus	Kakap Putih (Giant Perach)	100
2020	Agustus	Kakap Merah (Red Snapper)	14
2020	Agustus	Jenaha (Snapper)	82
2020	Agustus	Kurisi (Threadfin bream)	1.057
2020	Agustus	Kuniran (Sulphur goatfish)	34.299
2020	Agustus	Kuro (Giant threadfish)	629
2020	Agustus	Samgeh (Croackers)	7.772
2020	Agustus	Alu-alu (Barracuda)	269
2020	Agustus	Kerong-Kerong (Jarbua terapon)	0
2020	Agustus	Layur (Hairtail fishes)	171
2020	Agustus	Pari (Rays)	1.792
2020	Agustus	Ekor Kuning (Yellow tail)	48
2020	Agustus	Kerapu (Grouper)	147
2020	Agustus	Beronang (Spotted spinefoot)	
2020	Agustus	" Udang 
Jerbung"	616
2020	Agustus	Udang Krosok (Tiger cat shrimp)	3.886
2020	Agustus	Rajungan (Swimming crabs)	5.779
2020	Agustus	Cumi-cumi (Common squids)	6.977
2020	Agustus	Sotong (Cuttle fish)	2.126
2020	Agustus	Gurita (Octopuses)	232
2020	Agustus	Udang lainnya (Other shrimps)	7.082
2020	Agustus	Ikan Lainnya (Others)	326
2020	September	Teri (Anchovy)	48.635
2020	September	Teri Nasi (Anchovies)	-
2020	September	Belanak (Mullets)	820
2020	September	Bentong (Oxeye scad)	218
2020	September	Cendro (Needle fish)	106
2020	September	Talang-Talang (Queen fish)	325
2020	September	Ikan Terbang (Flying fish)	133
2020	September	Japuh (Rainbow sardine)	2.364
2020	September	Kembung (Indian mackerels)	5.977
2020	September	Layang (Scads)	17
2020	September	Siro/Lemuru (Spotted sardinella)	1.162
2020	September	Selar (Trevallies)	1.437
2020	September	Tembang (Fringescale sardinella)	11.274
2020	September	Selanget (Chacunda gizzard shad)	2.589
2020	September	Tetengkek (Torpedo scad)	3.385
2020	September	Semar (Mene maculata)	25
2020	September	Tongkol (Frigate tuna)	689
2020	September	Layaran (Indo-pacific sailfish)	41
2020	September	Tenggiri (Narrow barred king mackerel)	758
2020	September	Cucut (Sharks)	35
2020	September	Manyung (Sea-cat fishes)	355
2020	September	Sebelah (Croaker)	1098
2020	September	Kuwe (Great trevally)	295
2020	September	Bawal Hitam (Black pomfret)	-
2020	September	Bawal Putih (White pomfret)	-
2020	September	Golok-Golok (Dorab Wolf Hering)	772
2020	September	Beloso (Lizard fishes)	1.399
2020	September	Gerot-gerot (Saddle grunt)	199
2020	September	Peperek (Pony fishes)	43.757
2020	September	Kakap Putih (Giant Perach)	62
2020	September	Kakap Merah (Red Snapper)	113
2020	September	Jenaha (Snapper)	16
2020	September	Kurisi (Threadfin bream)	785
2020	September	Kuniran (Sulphur goatfish)	19.270
2020	September	Kuro (Giant threadfish)	330
2020	September	Samgeh (Croackers)	6.168
2020	September	Alu-alu (Barracuda)	255
2020	September	Kerong-Kerong (Jarbua terapon)	2
2020	September	Layur (Hairtail fishes)	207
2020	September	Pari (Rays)	1.627
2020	September	Ekor Kuning (Yellow tail)	21
2020	September	Kerapu (Grouper)	88
2020	September	Beronang (Spotted spinefoot)	35
2020	September	" Udang 
Jerbung"	642
2020	September	Udang Krosok (Tiger cat shrimp)	3.281
2020	September	Rajungan (Swimming crabs)	5.843
2020	September	Cumi-cumi (Common squids)	9.309
2020	September	Sotong (Cuttle fish)	2.160
2020	September	Gurita (Octopuses)	246
2020	September	Udang lainnya (Other shrimps)	5.171
2020	September	Ikan Lainnya (Others)	120
2020	Oktober	Teri (Anchovy)	33.268
2020	Oktober	Teri Nasi (Anchovies)	2.002
2020	Oktober	Belanak (Mullets)	1.942
2020	Oktober	Bentong (Oxeye scad)	219
2020	Oktober	Cendro (Needle fish)	77
2020	Oktober	Talang-Talang (Queen fish)	78
2020	Oktober	Ikan Terbang (Flying fish)	90
2020	Oktober	Japuh (Rainbow sardine)	1.136
2020	Oktober	Kembung (Indian mackerels)	6.651
2020	Oktober	Layang (Scads)	-
2020	Oktober	Siro/Lemuru (Spotted sardinella)	141
2020	Oktober	Selar (Trevallies)	1.173
2020	Oktober	Tembang (Fringescale sardinella)	11.763
2020	Oktober	Selanget (Chacunda gizzard shad)	2.176
2020	Oktober	Tetengkek (Torpedo scad)	278
2020	Oktober	Semar (Mene maculata)	16
2020	Oktober	Tongkol (Frigate tuna)	1.297
2020	Oktober	Layaran (Indo-pacific sailfish)	24
2020	Oktober	Tenggiri (Narrow barred king mackerel)	1.434
2020	Oktober	Cucut (Sharks)	115
2020	Oktober	Manyung (Sea-cat fishes)	411
2020	Oktober	Sebelah (Croaker)	1.404
2020	Oktober	Kuwe (Great trevally)	292
2020	Oktober	Bawal Hitam (Black pomfret)	5
2020	Oktober	Bawal Putih (White pomfret)	-
2020	Oktober	Golok-Golok (Dorab Wolf Hering)	1121
2020	Oktober	Beloso (Lizard fishes)	1.601
2020	Oktober	Gerot-gerot (Saddle grunt)	283
2020	Oktober	Peperek (Pony fishes)	55.345
2020	Oktober	Kakap Putih (Giant Perach)	100
2020	Oktober	Kakap Merah (Red Snapper)	71
2020	Oktober	Jenaha (Snapper)	65
2020	Oktober	Kurisi (Threadfin bream)	796
2020	Oktober	Kuniran (Sulphur goatfish)	17.866
2020	Oktober	Kuro (Giant threadfish)	228
2020	Oktober	Samgeh (Croackers)	6.979
2020	Oktober	Alu-alu (Barracuda)	566
2020	Oktober	Kerong-Kerong (Jarbua terapon)	0
2020	Oktober	Layur (Hairtail fishes)	29
2020	Oktober	Pari (Rays)	2.322
2020	Oktober	Ekor Kuning (Yellow tail)	191
2020	Oktober	Kerapu (Grouper)	125
2020	Oktober	Beronang (Spotted spinefoot)	12
2020	Oktober	" Udang 
Jerbung"	516
2020	Oktober	Udang Krosok (Tiger cat shrimp)	3.513
2020	Oktober	Rajungan (Swimming crabs)	5.600
2020	Oktober	Cumi-cumi (Common squids)	5.236
2020	Oktober	Sotong (Cuttle fish)	1.985
2020	Oktober	Gurita (Octopuses)	230
2020	Oktober	Udang lainnya (Other shrimps)	6.849
2020	Oktober	Ikan Lainnya (Others)	321
2020	November	Teri (Anchovy)	58.987
2020	November	Teri Nasi (Anchovies)	141
2020	November	Belanak (Mullets)	1.722
2020	November	Bentong (Oxeye scad)	14
2020	November	Cendro (Needle fish)	480
2020	November	Talang-Talang (Queen fish)	106
2020	November	Ikan Terbang (Flying fish)	24
2020	November	Japuh (Rainbow sardine)	1.601
2020	November	Kembung (Indian mackerels)	10.091
2020	November	Layang (Scads)	16.942
