Tahun	Bulan	Jenis Ikan	Volume Produksi (kg)
2022	Agustus	Kakap Putih (Giant Perach)	1
2022	Agustus	Kakap Merah (Red Snapper)	184
2022	Agustus	Jenaha (Snapper)	36
2022	Agustus	Kurisi (Threadfin bream)	907
2022	Agustus	Kuniran (Sulphur goatfish)	32.022
2022	Agustus	Kuro (Giant threadfish)	41
2022	Agustus	Samgeh (Croackers)	251
2022	Agustus	Alu-alu (Barracuda)	-
2022	Agustus	Kerong-Kerong (Jarbua terapon)	25
2022	Agustus	Layur (Hairtail fishes)	2.433
2022	Agustus	Pari (Rays)	1.220
2022	Agustus	Ekor Kuning (Yellow tail)	331
2022	Agustus	Kerapu (Grouper)	36
2022	Agustus	Beronang (Spotted spinefoot)	-
2022	Agustus	" Udang 
Jerbung"	623
2022	Agustus	Udang Krosok (Tiger cat shrimp)	3.902
2022	Agustus	Rajungan (Swimming crabs)	10.707
2022	Agustus	Cumi-cumi (Common squids)	6.374
2022	Agustus	Sotong (Cuttle fish)	1.736
2022	Agustus	Gurita (Octopuses)	238
2022	Agustus	Udang lainnya (Other shrimps)	4.241
2022	Agustus	" Sembilang  Euristhmus 
microceps"	519
2022	Agustus	"Udang Kipas Tenus 
Orientalis"	368
2022	Agustus	" Ikan 
LainnyaOthers"	485
2022	September	Teri (Anchovy)	24.191
2022	September	Teri Nasi (Anchovies)	-
2022	September	Belanak (Mullets)	940
2022	September	Bentong (Oxeye scad)	106
2022	September	Cendro (Needle fish)	223
2022	September	Talang-Talang (Queen fish)	168
2022	September	Ikan Terbang (Flying fish)	114
2022	September	Japuh (Rainbow sardine)	3.278
2022	September	Kembung (Indian mackerels)	12.143
2022	September	Layang (Scads)	111
2022	September	Siro/Lemuru (Spotted sardinella)	519
2022	September	Selar (Trevallies)	1.897
2022	September	Tembang (Fringescale sardinella)	22.293
2022	September	Selanget (Chacunda gizzard shad)	2.059
2022	September	Tetengkek (Torpedo scad)	707
2022	September	Semar (Mene maculata)	1.069
2022	September	Tongkol (Frigate tuna)	918
2022	September	Layaran (Indo-pacific sailfish)	130
2022	September	Tenggiri (Narrow barred king mackerel)	791
2022	September	Cucut (Sharks)	104
2022	September	Manyung (Sea-cat fishes)	99
2022	September	Sebelah (Croaker)	418
2022	September	Kuwe (Great trevally)	552
2022	September	Bawal Hitam (Black pomfret)	-
2022	September	Bawal Putih (White pomfret)	-
2022	September	Golok-Golok (Dorab Wolf Hering)	16
2022	September	Beloso (Lizard fishes)	1.765
2022	September	Gerot-gerot (Saddle grunt)	-
2022	September	Peperek (Pony fishes)	47.830
2022	September	Kakap Putih (Giant Perach)	69
2022	September	Kakap Merah (Red Snapper)	45
2022	September	Jenaha (Snapper)	46
2022	September	Kurisi (Threadfin bream)	928
2022	September	Kuniran (Sulphur goatfish)	30.940
2022	September	Kuro (Giant threadfish)	1
2022	September	Samgeh (Croackers)	570
2022	September	Alu-alu (Barracuda)	33
2022	September	Kerong-Kerong (Jarbua terapon)	109
2022	September	Layur (Hairtail fishes)	2.581
2022	September	Pari (Rays)	1.000
2022	September	Ekor Kuning (Yellow tail)	879
2022	September	Kerapu (Grouper)	62
2022	September	Beronang (Spotted spinefoot)	-
2022	September	" Udang 
Jerbung"	863
2022	September	Udang Krosok (Tiger cat shrimp)	2.848
2022	September	Rajungan (Swimming crabs)	8.984
2022	September	Cumi-cumi (Common squids)	11.905
2022	September	Sotong (Cuttle fish)	1.478
2022	September	Gurita (Octopuses)	357
2022	September	Udang lainnya (Other shrimps)	1.089
2022	September	" Sembilang  Euristhmus 
microceps"	1.084
2022	September	"Udang Kipas Tenus 
Orientalis"	366
2022	September	" Ikan 
LainnyaOthers"	1.239
2022	Oktober	Teri (Anchovy)	14.696
2022	Oktober	Teri Nasi (Anchovies)	-
2022	Oktober	Belanak (Mullets)	407
2022	Oktober	Bentong (Oxeye scad)	46
2022	Oktober	Cendro (Needle fish)	83
2022	Oktober	Talang-Talang (Queen fish)	40
2022	Oktober	Ikan Terbang (Flying fish)	-
2022	Oktober	Japuh (Rainbow sardine)	148
2022	Oktober	Kembung (Indian mackerels)	16.195
2022	Oktober	Layang (Scads)	17
2022	Oktober	Siro/Lemuru (Spotted sardinella)	12
2022	Oktober	Selar (Trevallies)	567
2022	Oktober	Tembang (Fringescale sardinella)	43.311
2022	Oktober	Selanget (Chacunda gizzard shad)	697
2022	Oktober	Tetengkek (Torpedo scad)	211
2022	Oktober	Semar (Mene maculata)	568
2022	Oktober	Tongkol (Frigate tuna)	1.277
2022	Oktober	Layaran (Indo-pacific sailfish)	-
2022	Oktober	Tenggiri (Narrow barred king mackerel)	770
2022	Oktober	Cucut (Sharks)	41
2022	Oktober	Manyung (Sea-cat fishes)	158
2022	Oktober	Sebelah (Croaker)	333
2022	Oktober	Kuwe (Great trevally)	294
2022	Oktober	Bawal Hitam (Black pomfret)	2
2022	Oktober	Bawal Putih (White pomfret)	-
2022	Oktober	Golok-Golok (Dorab Wolf Hering)	41
2022	Oktober	Beloso (Lizard fishes)	2.403
2022	Oktober	Gerot-gerot (Saddle grunt)	-
2022	Oktober	Peperek (Pony fishes)	44.015
2022	Oktober	Kakap Putih (Giant Perach)	26
2022	Oktober	Kakap Merah (Red Snapper)	38
2022	Oktober	Jenaha (Snapper)	35
2022	Oktober	Kurisi (Threadfin bream)	703
2022	Oktober	Kuniran (Sulphur goatfish)	30.761
2022	Oktober	Kuro (Giant threadfish)	4
2022	Oktober	Samgeh (Croackers)	302
2022	Oktober	Alu-alu (Barracuda)	1
2022	Oktober	Kerong-Kerong (Jarbua terapon)	76
2022	Oktober	Layur (Hairtail fishes)	2.829
2022	Oktober	Pari (Rays)	1.210
2022	Oktober	Ekor Kuning (Yellow tail)	754
2022	Oktober	Kerapu (Grouper)	79
2022	Oktober	Beronang (Spotted spinefoot)	21
2022	Oktober	" Udang 
Jerbung"	1.397
2022	Oktober	Udang Krosok (Tiger cat shrimp)	1.885
2022	Oktober	Rajungan (Swimming crabs)	9.164
2022	Oktober	Cumi-cumi (Common squids)	10.588
2022	Oktober	Sotong (Cuttle fish)	2.183
2022	Oktober	Gurita (Octopuses)	216
2022	Oktober	Udang lainnya (Other shrimps)	2.119
2022	Oktober	" Sembilang  Euristhmus 
microceps"	604
2022	Oktober	"Udang Kipas Tenus 
Orientalis"	335
2022	Oktober	" Ikan 
LainnyaOthers"	20
2022	November	Teri (Anchovy)	4.991
2022	November	Teri Nasi (Anchovies)	-
2022	November	Belanak (Mullets)	140
2022	November	Bentong (Oxeye scad)	-
2022	November	Cendro (Needle fish)	23
2022	November	Talang-Talang (Queen fish)	80
2022	November	Ikan Terbang (Flying fish)	8
2022	November	Japuh (Rainbow sardine)	9
2022	November	Kembung (Indian mackerels)	16.552
2022	November	Layang (Scads)	7
2022	November	Siro/Lemuru (Spotted sardinella)	-
2022	November	Selar (Trevallies)	487
2022	November	Tembang (Fringescale sardinella)	24.415
2022	November	Selanget (Chacunda gizzard shad)	776
2022	November	Tetengkek (Torpedo scad)	61
2022	November	Semar (Mene maculata)	1.124
2022	November	Tongkol (Frigate tuna)	365
2022	November	Layaran (Indo-pacific sailfish)	-
2022	November	Tenggiri (Narrow barred king mackerel)	875
2022	November	Cucut (Sharks)	67
2022	November	Manyung (Sea-cat fishes)	67
2022	November	Sebelah (Croaker)	328
2022	November	Kuwe (Great trevally)	339
2022	November	Bawal Hitam (Black pomfret)	7
2022	November	Bawal Putih (White pomfret)	-
2022	November	Golok-Golok (Dorab Wolf Hering)	7
2022	November	Beloso (Lizard fishes)	1.865
2022	November	Gerot-gerot (Saddle grunt)	9
2022	November	Peperek (Pony fishes)	47.736
2022	November	Kakap Putih (Giant Perach)	5
2022	November	Kakap Merah (Red Snapper)	7
2022	November	Jenaha (Snapper)	9
2022	November	Kurisi (Threadfin bream)	863
2022	November	Kuniran (Sulphur goatfish)	40.189
2022	November	Kuro (Giant threadfish)	26
2022	November	Samgeh (Croackers)	101
2022	November	Alu-alu (Barracuda)	2
2022	November	Kerong-Kerong (Jarbua terapon)	55
2022	November	Layur (Hairtail fishes)	2.643
2022	November	Pari (Rays)	810
2022	November	Ekor Kuning (Yellow tail)	575
2022	November	Kerapu (Grouper)	41
2022	November	Beronang (Spotted spinefoot)	26
2022	November	" Udang 
Jerbung"	1.160
2022	November	Udang Krosok (Tiger cat shrimp)	1.397
2022	November	Rajungan (Swimming crabs)	8.184
2022	November	Cumi-cumi (Common squids)	13.312
2022	November	Sotong (Cuttle fish)	1.231
2022	November	Gurita (Octopuses)	367
2022	November	Udang lainnya (Other shrimps)	420
2022	November	" Sembilang  Euristhmus 
microceps"	430
2022	November	"Udang Kipas Tenus 
Orientalis"	247
2022	November	" Ikan 
LainnyaOthers"	47
2022	Desember	Teri (Anchovy)	15.864
2022	Desember	Teri Nasi (Anchovies)	139
2022	Desember	Belanak (Mullets)	87
2022	Desember	Bentong (Oxeye scad)	-
2022	Desember	Cendro (Needle fish)	12
2022	Desember	Talang-Talang (Queen fish)	385
2022	Desember	Ikan Terbang (Flying fish)	-
2022	Desember	Japuh (Rainbow sardine)	441
2022	Desember	Kembung (Indian mackerels)	25.544
2022	Desember	Layang (Scads)	369
2022	Desember	Siro/Lemuru (Spotted sardinella)	-
2022	Desember	Selar (Trevallies)	1.928
2022	Desember	Tembang (Fringescale sardinella)	3.718
2022	Desember	Selanget (Chacunda gizzard shad)	716
2022	Desember	Tetengkek (Torpedo scad)	296
2022	Desember	Semar (Mene maculata)	395
2022	Desember	Tongkol (Frigate tuna)	888
2022	Desember	Layaran (Indo-pacific sailfish)	13
2022	Desember	Tenggiri (Narrow barred king mackerel)	1.873
2022	Desember	Cucut (Sharks)	8
2022	Desember	Manyung (Sea-cat fishes)	234
2022	Desember	Sebelah (Croaker)	369
2022	Desember	Kuwe (Great trevally)	395
2022	Desember	Bawal Hitam (Black pomfret)	-
2022	Desember	Bawal Putih (White pomfret)	-
2022	Desember	Golok-Golok (Dorab Wolf Hering)	19
2022	Desember	Beloso (Lizard fishes)	2.316
2022	Desember	Gerot-gerot (Saddle grunt)	29
2022	Desember	Peperek (Pony fishes)	49.610
2022	Desember	Kakap Putih (Giant Perach)	16
2022	Desember	Kakap Merah (Red Snapper)	149
2022	Desember	Jenaha (Snapper)	40
2022	Desember	Kurisi (Threadfin bream)	935
2022	Desember	Kuniran (Sulphur goatfish)	43.516
2022	Desember	Kuro (Giant threadfish)	-
2022	Desember	Samgeh (Croackers)	187
2022	Desember	Alu-alu (Barracuda)	-
2022	Desember	Kerong-Kerong (Jarbua terapon)	237
2022	Desember	Layur (Hairtail fishes)	2.959
2022	Desember	Pari (Rays)	1.258
2022	Desember	Ekor Kuning (Yellow tail)	850
2022	Desember	Kerapu (Grouper)	183
2022	Desember	Beronang (Spotted spinefoot)	76
2022	Desember	" Udang 
Jerbung"	1.103
2022	Desember	Udang Krosok (Tiger cat shrimp)	1.511
2022	Desember	Rajungan (Swimming crabs)	11.293
2022	Desember	Cumi-cumi (Common squids)	15.768
2022	Desember	Sotong (Cuttle fish)	1.781
2022	Desember	Gurita (Octopuses)	329
2022	Desember	Udang lainnya (Other shrimps)	1.430
2022	Desember	" Sembilang  Euristhmus 
microceps"	534
2022	Desember	"Udang Kipas Tenus 
Orientalis"	321
2022	Desember	" Ikan 
LainnyaOthers"	258
2023	Januari	Teri (Anchovy)	4.411
2023	Januari	Teri Nasi (Anchovies)	64
2023	Januari	Belanak (Mullets)	518
2023	Januari	Bentong (Oxeye scad)	-
2023	Januari	Cendro (Needle fish)	38
2023	Januari	Talang-Talang (Queen fish)	54
2023	Januari	Ikan Terbang (Flying fish)	-
2023	Januari	Japuh (Rainbow sardine)	127
2023	Januari	"Banyar  Restrelliger 
kanagurta"	-
2023	Januari	Kembung (Indian mackerels)	19.344
2023	Januari	Layang (Scads)	116
2023	Januari	Siro/Lemuru (Spotted sardinella)	-
2023	Januari	Selar (Trevallies)	872
2023	Januari	Tembang (Fringescale sardinella)	1.795
2023	Januari	Selanget (Chacunda gizzard shad)	2.273
2023	Januari	Tetengkek (Torpedo scad)	300
2023	Januari	Semar (Mene maculata)	-
2023	Januari	Tongkol (Frigate tuna)	69
2023	Januari	Layaran (Indo-pacific sailfish)	-
2023	Januari	Tenggiri (Narrow barred king mackerel)	564
2023	Januari	Cucut (Sharks)	3
2023	Januari	Manyung (Sea-cat fishes)	142
2023	Januari	Sebelah (Croaker)	431
2023	Januari	Kuwe (Great trevally)	180
2023	Januari	Bawal Hitam (Black pomfret)	-
2023	Januari	Bawal Putih (White pomfret)	-
2023	Januari	Golok-Golok (Dorab Wolf Hering)	-
2023	Januari	Beloso (Lizard fishes)	1.939
2023	Januari	Gerot-gerot (Saddle grunt)	10
2023	Januari	Peperek (Pony fishes)	57.435
2023	Januari	Kakap Putih (Giant Perach)	12
2023	Januari	Kakap Merah (Red Snapper)	4
2023	Januari	Jenaha (Snapper)	-
2023	Januari	Kurisi (Threadfin bream)	1.028
2023	Januari	Kuniran (Sulphur goatfish)	56.719
2023	Januari	Kuro (Giant threadfish)	-
2023	Januari	Alu-alu (Barracuda)	78
2023	Januari	Kerong-Kerong (Jarbua terapon)	-
2023	Januari	Layur (Hairtail fishes)	45
2023	Januari	Samgeh (Croackers)	2.877
2023	Januari	Pari (Rays)	1.352
2023	Januari	Ekor Kuning (Yellow tail)	1.007
2023	Januari	Kerapu (Grouper)	5
2023	Januari	Beronang (Spotted spinefoot)	-
2023	Januari	" Udang 
Jerbung"	1.038
2023	Januari	Udang Krosok (Tiger cat shrimp)	2.132
2023	Januari	Rajungan (Swimming crabs)	10.871
2023	Januari	Cumi-cumi (Common squids)	8.321
2023	Januari	Sotong (Cuttle fish)	1.127
2023	Januari	Gurita (Octopuses)	491
2023	Januari	Udang lainnya (Other shrimps)	5.194
2023	Januari	"Sembilang  Euristhmus 
microceps"	-
2023	Januari	"Udang Kipas Tenus 
Orientalis"	520
2023	Januari	" Ikan 
LainnyaOthers"	730
2023	Januari	 Kepiting	1.369
2023	Januari	Sunglir	112
2023	Januari	" Ikan Karang 
Lainnya"	10
2023	Januari	 Gabus Laut	-
2023	Januari	 Lemadang	-
2023	Januari	 Lencam	-
2023	Januari	 Kakak Tua	-
2023	Januari	Ayam-ayam	-
2023	Januari	 Rejung	-
2023	Januari	"Kaci Sweetlips 
Fish"	-
2023	Januari	Udang Raja King shrimp	-
2023	Januari	"Udang 
Windu Penaeus 
monodon"	-
2023	Januari	"Udang 
Ketak/Mantis Odontodactylus 
scyllarus"	-
2023	Januari	"Binatang 
berkulit 
keras Others"	-
2023	Januari	"Kapas - 
Kapas Gerres 
fiamentous"	-
2023	Januari	"Setuhuk 
Hitam [BLM] Makair"	-
2023	Januari	"wanggi/  
Mata besar Priacanthus 
Tayenus"	-
2023	Februari	Teri (Anchovy)	2.749
2023	Februari	Teri Nasi (Anchovies)	-
2023	Februari	Belanak (Mullets)	213
2023	Februari	Bentong (Oxeye scad)	24
2023	Februari	Cendro (Needle fish)	6
2023	Februari	Talang-Talang (Queen fish)	17
2023	Februari	Ikan Terbang (Flying fish)	-
2023	Februari	Japuh (Rainbow sardine)	566
2023	Februari	"Banyar  Restrelliger 
kanagurta"	131
2023	Februari	Kembung (Indian mackerels)	11.304
2023	Februari	Layang (Scads)	-
2023	Februari	Siro/Lemuru (Spotted sardinella)	60
2023	Februari	Selar (Trevallies)	1.174
2023	Februari	Tembang (Fringescale sardinella)	533
2023	Februari	Selanget (Chacunda gizzard shad)	1.453
2023	Februari	Tetengkek (Torpedo scad)	53
2023	Februari	Semar (Mene maculata)	1.347
2023	Februari	Tongkol (Frigate tuna)	64
2023	Februari	Layaran (Indo-pacific sailfish)	-
2023	Februari	Tenggiri (Narrow barred king mackerel)	4.373
2023	Februari	Cucut (Sharks)	3
2023	Februari	Manyung (Sea-cat fishes)	300
2023	Februari	Sebelah (Croaker)	267
2023	Februari	Kuwe (Great trevally)	375
2023	Februari	Bawal Hitam (Black pomfret)	-
2023	Februari	Bawal Putih (White pomfret)	-
2023	Februari	Golok-Golok (Dorab Wolf Hering)	-
2023	Februari	Beloso (Lizard fishes)	1.365
2023	Februari	Gerot-gerot (Saddle grunt)	-
2023	Februari	Peperek (Pony fishes)	48.680
2023	Februari	Kakap Putih (Giant Perach)	21
2023	Februari	Kakap Merah (Red Snapper)	54
2023	Februari	Jenaha (Snapper)	84
2023	Februari	Kurisi (Threadfin bream)	643
2023	Februari	Kuniran (Sulphur goatfish)	44.832
2023	Februari	Kuro (Giant threadfish)	-
2023	Februari	Alu-alu (Barracuda)	57
2023	Februari	Kerong-Kerong (Jarbua terapon)	-
2023	Februari	Layur (Hairtail fishes)	81
2023	Februari	Samgeh (Croackers)	1.937
2023	Februari	Pari (Rays)	930
2023	Februari	Ekor Kuning (Yellow tail)	876
2023	Februari	Kerapu (Grouper)	65
2023	Februari	Beronang (Spotted spinefoot)	43
2023	Februari	" Udang 
Jerbung"	3.544
2023	Februari	Udang Krosok (Tiger cat shrimp)	1.028
2023	Februari	Rajungan (Swimming crabs)	7.036
2023	Februari	Cumi-cumi (Common squids)	11.739
2023	Februari	Sotong (Cuttle fish)	724
2023	Februari	Gurita (Octopuses)	403
2023	Februari	Udang lainnya (Other shrimps)	1.332
2023	Februari	"Sembilang  Euristhmus 
microceps"	-
2023	Februari	"Udang Kipas Tenus 
Orientalis"	306
2023	Februari	" Ikan 
LainnyaOthers"	343
2023	Februari	 Kepiting	1.114
2023	Februari	Sunglir	213
2023	Februari	" Ikan Karang 
Lainnya"	
2023	Februari	 Gabus Laut	4
2023	Februari	 Lemadang	-
2023	Februari	 Lencam	-
2023	Februari	 Kakak Tua	-
2023	Februari	Ayam-ayam	-
2023	Februari	 Rejung	-
2023	Februari	"Kaci Sweetlips 
Fish"	-
2023	Februari	Udang Raja King shrimp	-
2023	Februari	"Udang 
Windu Penaeus 
monodon"	-
2023	Februari	"Udang 
Ketak/Mantis Odontodactylus 
scyllarus"	-
2023	Februari	"Binatang 
berkulit 
keras Others"	-
2023	Februari	"Kapas - 
Kapas Gerres 
fiamentous"	-
2023	Februari	"Setuhuk 
Hitam [BLM] Makair"	-
2023	Februari	"wanggi/  
Mata besar Priacanthus 
Tayenus"	-
2023	Maret	Teri (Anchovy)	20.122
2023	Maret	Teri Nasi (Anchovies)	876
2023	Maret	Belanak (Mullets)	1.250
2023	Maret	Bentong (Oxeye scad)	90
2023	Maret	Cendro (Needle fish)	13
2023	Maret	Talang-Talang (Queen fish)	485
2023	Maret	Ikan Terbang (Flying fish)	20
2023	Maret	Japuh (Rainbow sardine)	1.657
2023	Maret	"Banyar  Restrelliger 
kanagurta"	228
2023	Maret	Kembung (Indian mackerels)	18.640
2023	Maret	Layang (Scads)	8.309
2023	Maret	Siro/Lemuru (Spotted sardinella)	7.465
2023	Maret	Selar (Trevallies)	2.707
2023	Maret	Tembang (Fringescale sardinella)	10.628
2023	Maret	Selanget (Chacunda gizzard shad)	1.456
2023	Maret	Tetengkek (Torpedo scad)	759
2023	Maret	Semar (Mene maculata)	342
2023	Maret	Tongkol (Frigate tuna)	5.601
2023	Maret	Layaran (Indo-pacific sailfish)	16
2023	Maret	Tenggiri (Narrow barred king mackerel)	2.333
2023	Maret	Cucut (Sharks)	39
2023	Maret	Manyung (Sea-cat fishes)	85
2023	Maret	Sebelah (Croaker)	346
2023	Maret	Kuwe (Great trevally)	469
2023	Maret	Bawal Hitam (Black pomfret)	1.144
2023	Maret	Bawal Putih (White pomfret)	-
2023	Maret	Golok-Golok (Dorab Wolf Hering)	-
2023	Maret	Beloso (Lizard fishes)	1.355
2023	Maret	Gerot-gerot (Saddle grunt)	-
2023	Maret	Peperek (Pony fishes)	58.596
2023	Maret	Kakap Putih (Giant Perach)	69
2023	Maret	Kakap Merah (Red Snapper)	235
2023	Maret	Jenaha (Snapper)	28
2023	Maret	Kurisi (Threadfin bream)	720
2023	Maret	Kuniran (Sulphur goatfish)	53.678
2023	Maret	Kuro (Giant threadfish)	-
2023	Maret	Alu-alu (Barracuda)	98
2023	Maret	Kerong-Kerong (Jarbua terapon)	-
2023	Maret	Layur (Hairtail fishes)	279
2023	Maret	Samgeh (Croackers)	2.196
2023	Maret	Pari (Rays)	1.716
2023	Maret	Ekor Kuning (Yellow tail)	808
2023	Maret	Kerapu (Grouper)	4
2023	Maret	Beronang (Spotted spinefoot)	9
2023	Maret	" Udang 
Jerbung"	1.401
2023	Maret	Udang Krosok (Tiger cat shrimp)	2.069
2023	Maret	Rajungan (Swimming crabs)	6.523
2023	Maret	Cumi-cumi (Common squids)	12.840
2023	Maret	Sotong (Cuttle fish)	932
2023	Maret	Gurita (Octopuses)	485
2023	Maret	Udang lainnya (Other shrimps)	16.101
2023	Maret	"Sembilang  Euristhmus 
microceps"	28
2023	Maret	"Udang Kipas Tenus 
Orientalis"	745
2023	Maret	" Ikan 
LainnyaOthers"	362
2023	Maret	 Kepiting	1.412
2023	Maret	Sunglir	213
2023	Maret	" Ikan Karang 
Lainnya"	-
2023	Maret	 Gabus Laut	3
2023	Maret	 Lemadang	6
2023	Maret	 Lencam	26
2023	Maret	 Kakak Tua	-
2023	Maret	Ayam-ayam	-
2023	Maret	 Rejung	-
2023	Maret	"Kaci Sweetlips 
Fish"	-
2023	Maret	Udang Raja King shrimp	-
2023	Maret	"Udang 
Windu Penaeus 
monodon"	-
2023	Maret	"Udang 
Ketak/Mantis Odontodactylus 
scyllarus"	-
2023	Maret	"Binatang 
berkulit 
keras Others"	-
2023	Maret	"Kapas - 
Kapas Gerres 
fiamentous"	-
2023	Maret	"Setuhuk 
Hitam [BLM] Makair"	-
2023	Maret	"wanggi/  
Mata besar Priacanthus 
Tayenus"	-
2023	April	Teri (Anchovy)	22.166
2023	April	Teri Nasi (Anchovies)	-
2023	April	Belanak (Mullets)	770
2023	April	Bentong (Oxeye scad)	-
2023	April	Cendro (Needle fish)	-
2023	April	Talang-Talang (Queen fish)	104
2023	April	Ikan Terbang (Flying fish)	-
2023	April	Japuh (Rainbow sardine)	1.152
2023	April	"Banyar  Restrelliger 
kanagurta"	-
2023	April	Kembung (Indian mackerels)	25.895
2023	April	Layang (Scads)	6.282
2023	April	Siro/Lemuru (Spotted sardinella)	9.473
2023	April	Selar (Trevallies)	1.087
2023	April	Tembang (Fringescale sardinella)	3.357
2023	April	Selanget (Chacunda gizzard shad)	1.076
2023	April	Tetengkek (Torpedo scad)	226
2023	April	Semar (Mene maculata)	84
2023	April	Tongkol (Frigate tuna)	7.254
2023	April	Layaran (Indo-pacific sailfish)	54
2023	April	Tenggiri (Narrow barred king mackerel)	1.490
2023	April	Cucut (Sharks)	-
2023	April	Manyung (Sea-cat fishes)	403
2023	April	Sebelah (Croaker)	270
2023	April	Kuwe (Great trevally)	480
2023	April	Bawal Hitam (Black pomfret)	-
2023	April	Bawal Putih (White pomfret)	-
2023	April	Golok-Golok (Dorab Wolf Hering)	-
2023	April	Beloso (Lizard fishes)	1.212
2023	April	Gerot-gerot (Saddle grunt)	-
2023	April	Peperek (Pony fishes)	70.944
2023	April	Kakap Putih (Giant Perach)	39
2023	April	Kakap Merah (Red Snapper)	72
2023	April	Jenaha (Snapper)	33
2023	April	Kurisi (Threadfin bream)	746
2023	April	Kuniran (Sulphur goatfish)	37.399
2023	April	Kuro (Giant threadfish)	24
2023	April	Alu-alu (Barracuda)	99
2023	April	Kerong-Kerong (Jarbua terapon)	-
2023	April	Layur (Hairtail fishes)	257
2023	April	Samgeh (Croackers)	2.172
2023	April	Pari (Rays)	1.333
2023	April	Ekor Kuning (Yellow tail)	745
2023	April	Kerapu (Grouper)	47
2023	April	Beronang (Spotted spinefoot)	31
2023	April	" Udang 
Jerbung"	944
2023	April	Udang Krosok (Tiger cat shrimp)	1.556
2023	April	Rajungan (Swimming crabs)	3.808
2023	April	Cumi-cumi (Common squids)	27.067
2023	April	Sotong (Cuttle fish)	760
2023	April	Gurita (Octopuses)	598
2023	April	Udang lainnya (Other shrimps)	9.245
2023	April	"Sembilang  Euristhmus 
microceps"	-
2023	April	"Udang Kipas Tenus 
Orientalis"	307
2023	April	" Ikan 
LainnyaOthers"	335
2023	April	 Kepiting	1.151
2023	April	Sunglir	104
2023	April	" Ikan Karang 
Lainnya"	
2023	April	 Gabus Laut	58
2023	April	 Lemadang	-
2023	April	 Lencam	-
2023	April	 Kakak Tua	-
2023	April	Ayam-ayam	-
2023	April	 Rejung	-
2023	April	"Kaci Sweetlips 
Fish"	-
2023	April	Udang Raja King shrimp	-
2023	April	"Udang 
Windu Penaeus 
monodon"	-
2023	April	"Udang 
Ketak/Mantis Odontodactylus 
scyllarus"	-
2023	April	"Binatang 
berkulit 
keras Others"	-
2023	April	"Kapas - 
Kapas Gerres 
fiamentous"	-
2023	April	"Setuhuk 
Hitam [BLM] Makair"	-
2023	April	"wanggi/  
Mata besar Priacanthus 
Tayenus"	-
2023	Mei	Teri (Anchovy)	19.525
2023	Mei	Teri Nasi (Anchovies)	266
2023	Mei	Belanak (Mullets)	538
2023	Mei	Bentong (Oxeye scad)	263
2023	Mei	Cendro (Needle fish)	24
2023	Mei	Talang-Talang (Queen fish)	15
2023	Mei	Ikan Terbang (Flying fish)	-
2023	Mei	Japuh (Rainbow sardine)	359
2023	Mei	"Banyar  Restrelliger 
kanagurta"	225
2023	Mei	Kembung (Indian mackerels)	34.105
2023	Mei	Layang (Scads)	55.610
2023	Mei	Siro/Lemuru (Spotted sardinella)	5.241
2023	Mei	Selar (Trevallies)	947
2023	Mei	Tembang (Fringescale sardinella)	9.949
2023	Mei	Selanget (Chacunda gizzard shad)	748
2023	Mei	Tetengkek (Torpedo scad)	3
2023	Mei	Semar (Mene maculata)	-
2023	Mei	Tongkol (Frigate tuna)	7.377
2023	Mei	Layaran (Indo-pacific sailfish)	-
2023	Mei	Tenggiri (Narrow barred king mackerel)	1.081
2023	Mei	Cucut (Sharks)	23
2023	Mei	Manyung (Sea-cat fishes)	440
2023	Mei	Sebelah (Croaker)	338
2023	Mei	Kuwe (Great trevally)	1.486
2023	Mei	Bawal Hitam (Black pomfret)	55
2023	Mei	Bawal Putih (White pomfret)	-
2023	Mei	Golok-Golok (Dorab Wolf Hering)	13
2023	Mei	Beloso (Lizard fishes)	1.262
2023	Mei	Gerot-gerot (Saddle grunt)	-
2023	Mei	Peperek (Pony fishes)	71.834
2023	Mei	Kakap Putih (Giant Perach)	50
2023	Mei	Kakap Merah (Red Snapper)	110
2023	Mei	Jenaha (Snapper)	337
2023	Mei	Kurisi (Threadfin bream)	1.066
2023	Mei	Kuniran (Sulphur goatfish)	25.090
2023	Mei	Kuro (Giant threadfish)	-
2023	Mei	Alu-alu (Barracuda)	155
2023	Mei	Kerong-Kerong (Jarbua terapon)	-
2023	Mei	Layur (Hairtail fishes)	5
2023	Mei	Samgeh (Croackers)	3.132
2023	Mei	Pari (Rays)	968
2023	Mei	Ekor Kuning (Yellow tail)	797
2023	Mei	Kerapu (Grouper)	170
2023	Mei	Beronang (Spotted spinefoot)	228
2023	Mei	" Udang 
Jerbung"	1.491
2023	Mei	Udang Krosok (Tiger cat shrimp)	1.790
2023	Mei	Rajungan (Swimming crabs)	5.796
2023	Mei	Cumi-cumi (Common squids)	19.612
2023	Mei	Sotong (Cuttle fish)	936
2023	Mei	Gurita (Octopuses)	689
2023	Mei	Udang lainnya (Other shrimps)	5.088
2023	Mei	"Sembilang  Euristhmus 
microceps"	-
2023	Mei	"Udang Kipas Tenus 
Orientalis"	650
2023	Mei	" Ikan 
LainnyaOthers"	385
2023	Mei	 Kepiting	1.231
2023	Mei	Sunglir	426
2023	Mei	" Ikan Karang 
Lainnya"	
2023	Mei	 Gabus Laut	8
2023	Mei	 Lemadang	70
2023	Mei	 Lencam	
